Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Australia and Oceania,Japan,Clothes,Online,M,01/27/2012,382070886,02/19/2012,5689,337.55,280.64,1920321.95,1596560.96,323760.99
Asia,India,Snacks,Online,C,03/08/2023,921663901,03/28/2023,10029,177.86,115.08,1783757.94,1154137.32,629620.62
Middle East and North Africa,Germany,Personal Care,Online,H,11/08/2017,828008881,11/13/2017,7798,471.26,285.52,3674885.48,2226484.96,1448400.52
Asia,Japan,Household,Online,M,09/21/2014,500152036,10/04/2014,9192,350.15,275.32,3218578.8,2530741.44,687837.36
Central America and the Caribbean,Brazil,Meat,Online,L,05/21/2015,243206175,06/05/2015,1647,182.51,136.36,300593.97,224584.92,76009.05
Asia,Mexico,Office Supplies,Online,H,12/16/2013,441516289,01/07/2014,9802,237.64,150.53,2329347.28,1475495.06,853852.22
Middle East and North Africa,Mexico,Office Supplies,Online,M,12/07/2012,685301985,12/15/2012,3940,444.43,380.07,1751054.2,1497475.8,253578.4
Australia and Oceania,India,Clothes,Offline,C,08/20/2018,944582850,08/25/2018,2484,462.34,345.99,1148452.56,859439.16,289013.4
Asia,India,Beverages,Offline,M,01/23/2021,583357153,02/08/2021,7368,267.35,230.29,1969834.8,1696776.72,273058.08
North America,Australia,Beverages,Offline,C,11/16/2018,644992944,12/13/2018,8795,441.14,376.13,3879826.3,3308063.35,571762.95
Central America and the Caribbean,USA,Cereal,Online,L,12/15/2012,590396804,12/27/2012,5797,400.5,329.05,2321698.5,1907502.85,414195.65
North America,Australia,Cereal,Online,M,08/23/2012,523523334,08/31/2012,2802,157.76,136.01,442043.52,381100.02,60943.5
Australia and Oceania,Germany,Personal Care,Online,C,09/27/2011,949706639,10/23/2011,6823,319.86,262.46,2182404.78,1790764.58,391640.2
North America,France,Clothes,Offline,H,10/24/2018,299517585,10/25/2018,2022,379.93,288.8,768218.46,583953.6,184264.86
Central America and the Caribbean,UAE,Personal Care,Offline,H,07/11/2023,848496772,07/13/2023,3865,323.14,280.92,1248936.1,1085755.8,163180.3
Sub-Saharan Africa,Japan,Vegetables,Online,M,07/23/2021,401175124,08/16/2021,1794,530.19,367.37,951160.86,659061.78,292099.08
Central America and the Caribbean,France,Cosmetics,Online,M,11/11/2014,677526580,11/16/2014,3690,210.36,170.89,776228.4,630584.1,145644.3
Europe,Australia,Personal Care,Online,M,11/30/2019,860889628,12/05/2019,2966,699.98,530.98,2076140.68,1574886.68,501254
Australia and Oceania,Mexico,Personal Care,Online,C,07/20/2021,998762247,07/25/2021,6333,671.69,495.91,4253812.77,3140598.03,1113214.74
Australia and Oceania,Mexico,Fruits,Online,H,01/18/2014,230692352,02/16/2014,10592,206.57,176.77,2187989.44,1872347.84,315641.6
Sub-Saharan Africa,France,Household,Online,L,02/25/2021,656107745,03/01/2021,608,368.36,225.26,223962.88,136958.08,87004.8
Australia and Oceania,Mexico,Meat,Offline,H,01/29/2012,775003057,02/08/2012,10782,458.63,342.54,4944948.66,3693266.28,1251682.38
Europe,USA,Snacks,Online,M,07/14/2017,324347242,07/17/2017,9589,613.91,471.64,5886782.99,4522555.96,1364227.03
Asia,Australia,Personal Care,Offline,L,03/05/2020,801053528,04/03/2020,775,699.47,509.2,542089.25,394630,147459.25
North America,Kenya,Vegetables,Online,M,07/27/2013,698367926,08/09/2013,2772,196.71,166.6,545280.12,461815.2,83464.92
Sub-Saharan Africa,Mexico,Fruits,Online,C,11/25/2014,582702079,12/25/2014,7035,370.64,305.36,2607452.4,2148207.6,459244.8
Middle East and North Africa,USA,Baby Food,Online,M,10/30/2013,682506844,11/12/2013,8723,593.27,467.78,5175094.21,4080444.94,1094649.27
Middle East and North Africa,Kenya,Vegetables,Online,H,03/20/2022,555397523,04/04/2022,5588,622.97,446.27,3481156.36,2493756.76,987399.6
Central America and the Caribbean,Japan,Beverages,Offline,L,01/02/2016,979913761,01/10/2016,6173,554.2,380.05,3421076.6,2346048.65,1075027.95
Middle East and North Africa,Germany,Office Supplies,Online,L,12/29/2020,311537239,01/09/2021,890,680.5,419,605645,372910,232735
Europe,India,Household,Online,H,09/13/2016,155613309,09/25/2016,8283,608.66,408.19,5041530.78,3381037.77,1660493.01
Central America and the Caribbean,Australia,Meat,Offline,L,04/27/2023,345318807,05/10/2023,524,391.68,296.6,205240.32,155418.4,49821.92
North America,UAE,Cosmetics,Offline,L,08/11/2018,371166142,08/31/2018,1895,562.99,494.68,1066866.05,937418.6,129447.45
Australia and Oceania,Mexico,Cereal,Offline,C,05/01/2021,996736871,05/06/2021,4529,588.5,528.33,2665316.5,2392806.57,272509.93
Sub-Saharan Africa,Mexico,Beverages,Offline,L,08/02/2013,430624663,08/09/2013,11147,464.63,302.68,5179230.61,3373973.96,1805256.65
Asia,Kenya,Meat,Offline,M,11/10/2019,602918918,11/13/2019,1128,424.07,282.84,478350.96,319043.52,159307.44
Middle East and North Africa,Kenya,Beverages,Offline,H,01/12/2019,156198527,01/17/2019,4762,283.33,173.42,1349217.46,825826.04,523391.42
Middle East and North Africa,USA,Office Supplies,Offline,L,08/18/2013,995930822,08/22/2013,6415,444.79,278.02,2853327.85,1783498.3,1069829.55
Australia and Oceania,USA,Personal Care,Online,C,07/03/2016,678089587,08/02/2016,7195,138.9,107.35,999385.5,772383.25,227002.25
Middle East and North Africa,France,Clothes,Online,C,06/09/2019,235884121,06/15/2019,397,95.7,68.02,37992.9,27003.94,10988.96
Sub-Saharan Africa,France,Fruits,Online,C,05/29/2021,380834008,06/20/2021,3940,607.5,488.32,2393550,1923980.8,469569.2
Europe,Kenya,Fruits,Online,C,01/25/2010,816211619,02/04/2010,11454,74.85,61.93,857331.9,709346.22,147985.68
Central America and the Caribbean,Mexico,Beverages,Online,C,10/17/2018,474272339,11/01/2018,1077,64.97,55.41,69972.69,59676.57,10296.12
North America,France,Household,Offline,L,08/12/2018,328237686,08/17/2018,2868,377.36,317.94,1082268.48,911851.92,170416.56
Europe,Germany,Vegetables,Online,M,06/08/2021,571423726,06/30/2021,3536,131.19,88.6,463887.84,313289.6,150598.24
Sub-Saharan Africa,Kenya,Meat,Offline,L,10/08/2014,661268232,10/22/2014,4869,77.01,46.33,374961.69,225580.77,149380.92
Asia,Japan,Household,Online,L,10/15/2013,871435077,10/29/2013,7776,234.01,193.01,1819661.76,1500845.76,318816
Sub-Saharan Africa,Kenya,Personal Care,Offline,H,12/17/2010,756447803,01/14/2011,6577,346.22,229.69,2277088.94,1510671.13,766417.81
Europe,Brazil,Beverages,Offline,C,07/31/2014,769308018,08/04/2014,7667,444.17,335.4,3405451.39,2571511.8,833939.59
